x,y,z,target
42,53,49,295
46,54,44,286
8,18,30,134
85,69,92,499
32,71,61,357
41,15,56,239
42,64,15,215
51,12,31,168
25,13,67,252
33,97,2,233
99,93,34,387
33,10,69,260
32,75,14,224
19,27,36,181
86,14,58,288
57,63,70,393
43,86,48,359
57,37,71,344
28,98,38,338
77,14,25,180
43,53,37,260
28,42,70,322
35,47,47,270
12,99,54,372
27,25,76,305
85,84,8,277
68,88,53,403
68,41,41,273
40,28,25,171
15,25,84,317
35,53,92,417
60,51,29,249
77,57,80,431
90,85,46,398
57,40,39,254
52,47,71,359
74,77,75,453
54,71,6,214
28,53,7,155
22,99,7,241
21,44,38,223
32,89,39,327
73,21,25,190
99,43,92,461
95,4,23,172
22,76,19,231
2,90,33,281
78,97,3,281
88,89,66,464
83,58,92,475
5,8,84,273
46,27,30,190
43,61,52,321
75,30,11,168
83,6,67,296
68,12,56,260
28,41,71,323
96,41,78,412
69,41,96,439
64,31,77,357
15,69,84,405
8,22,28,136
21,71,41,286
43,79,10,231
67,34,38,249
89,48,59,362
87,76,18,293
76,68,50,362
36,64,50,314
89,73,13,274
54,88,52,386
83,58,95,484
48,40,59,305
36,88,96,500
38,39,97,407
62,56,77,405
51,11,34,175
23,34,6,109
2,50,16,150
57,47,25,226
96,4,99,401
35,30,4,107
95,1,72,313
59,37,34,235
46,74,70,404
70,69,2,214
23,69,66,359
28,35,54,260
34,84,77,433
8,23,95,339
95,89,98,567
48,78,29,291
70,76,47,363
52,75,62,388
56,94,31,337
94,82,95,543
66,70,48,350
33,8,49,196
70,95,80,500
86,47,78,414
8,10,69,235
10,61,98,426
32,87,95,491
28,55,69,345
62,33,58,302
64,27,79,355
73,33,49,286
96,26,42,274
29,15,49,206
51,17,63,274
36,2,68,244
11,66,5,158
36,81,54,360
96,0,31,189
18,44,91,379
70,5,97,371
5,89,7,204
16,56,67,329
81,14,16,157
78,84,49,393
80,4,53,247
41,73,11,220
71,64,34,301
20,64,78,382
74,93,1,263
34,71,95,461
39,17,85,328
7,49,66,303
97,7,80,351
79,22,59,300
75,98,3,280
74,81,64,428
45,23,30,181
57,48,74,375
19,20,99,356
99,1,93,380
93,24,72,357
51,28,30,197
12,77,23,235
61,67,64,387
61,91,2,249
86,84,37,365
66,3,11,105
26,54,74,356
5,19,98,337
99,50,31,292
80,23,26,204
38,63,62,350
8,32,45,207
66,27,46,258
83,67,77,448
87,5,25,172
0,85,98,464
44,50,13,183
47,34,48,259
67,85,23,306
72,16,16,152
19,27,54,235
93,74,7,262
99,43,12,221
31,91,92,489
7,19,75,270
26,83,70,402
6,51,45,243
12,43,89,365
51,48,91,420
40,46,62,318
88,65,31,311
1,65,90,401
96,20,0,136
66,10,40,206
9,36,53,240
70,25,15,165
85,34,84,405
60,89,95,523
2,5,80,252
88,75,40,358
68,68,89,471
99,8,25,190
0,52,51,257
53,58,78,403
6,27,16,108
82,8,20,158
69,26,30,211
74,36,94,428
76,40,60,336
64,9,4,94
33,10,65,248
59,11,51,234
65,88,65,436
23,49,23,190
53,34,58,295
2,35,8,96
33,16,53,224
35,85,78,439
83,1,84,337
84,58,98,494
40,59,10,188
81,27,92,411
76,22,25,195
24,58,20,200
73,97,74,489
6,85,50,326
21,77,94,457
20,56,86,390
27,85,7,218
96,45,73,405
19,92,31,296
94,48,76,418
20,13,22,112
40,67,58,348
3,20,21,106
18,4,90,296
6,53,97,403
89,99,87,548
62,1,52,220
15,82,95,464
20,28,35,181
89,88,71,478
59,30,91,392
6,80,60,346
1,53,45,242
53,27,18,161
93,4,64,293
15,32,40,199
85,23,72,347
34,58,44,282
6,71,55,313
86,63,45,347
27,82,1,194
83,12,71,320
42,58,87,419
81,43,57,338
61,5,16,119
83,63,14,251
43,66,22,241
67,46,99,456
57,88,8,257
86,50,13,225
89,94,54,439
49,31,96,399
35,85,15,250
45,18,68,285
79,66,35,316
83,80,7,264
99,28,51,308
96,11,15,163
7,32,77,302
15,30,50,225
30,58,90,416
54,31,72,332
69,57,1,186
18,24,62,252
19,84,14,229
58,40,34,240
6,50,70,316
27,71,60,349
94,73,46,378
51,70,98,485
90,66,83,471
13,60,91,406
2,69,25,215
53,32,14,159
35,34,6,121
68,90,1,251
38,10,75,283
97,46,20,249
64,30,92,400
90,83,96,544
8,53,67,315
60,75,90,480
82,92,15,311
16,49,45,249
15,52,54,281
0,43,56,254
62,80,73,441
49,40,15,174
91,21,49,280
31,39,19,166
90,63,6,234
23,1,33,124
67,51,38,283
66,88,26,320
44,42,82,374
23,47,65,312
98,37,24,244
85,59,27,284
34,66,96,454
21,91,61,386
27,20,88,331
68,42,91,425
54,4,61,245
39,41,96,409
66,99,84,516
21,68,90,427
92,95,25,357
30,94,4,230
19,77,73,392
79,90,38,373
74,12,75,323
50,34,34,220
25,88,18,255
17,65,20,207
65,95,1,258
17,44,23,174
94,65,23,293
79,74,90,497
71,41,88,417
99,50,24,271
49,93,73,454
72,8,6,106
88,31,8,174
69,4,53,236
28,44,92,392
11,29,55,234
95,11,97,408
53,65,4,195
27,76,35,284
76,7,69,297
79,52,47,324
8,49,47,247
18,62,44,274
27,69,12,201
80,74,45,363
14,8,37,141
24,11,29,133
96,37,34,272
96,14,42,250
74,77,5,243
30,32,12,130
38,71,67,381
3,13,69,236
92,81,98,548
84,86,60,436
37,8,65,248
40,76,63,381
54,60,34,276
98,36,32,266
80,21,13,161
46,9,42,190
18,2,51,175
19,92,4,215
31,99,56,397
76,18,79,349
0,89,4,190
66,55,62,362
82,97,10,306
54,62,83,427
23,11,75,270
48,24,45,231
73,32,13,176
61,41,79,380
7,52,19,168
15,20,48,199
70,91,26,330
57,63,12,219
87,62,36,319
50,53,16,204
26,7,51,193
80,10,10,130
74,78,75,455
94,72,48,382
10,11,44,164
43,22,29,174
56,48,23,221
3,97,82,443
13,23,20,119
7,45,35,202
27,8,49,190
84,95,66,472
8,4,23,85
55,39,45,268
37,80,84,449
40,46,68,336
68,71,10,240
87,5,7,118
83,1,85,340
30,26,72,298
32,57,57,317
12,36,49,231
35,78,37,302
6,76,91,431
39,2,64,235
2,35,46,210
12,57,2,132
24,81,35,291
37,47,83,380
73,47,61,350
12,66,93,423
63,54,60,351
81,2,78,319
93,95,10,313
51,86,37,334
69,54,59,354
27,79,25,260
98,2,9,129
13,14,46,179
31,67,24,237
91,8,25,182
50,94,3,247
73,74,14,263
42,52,2,152
71,19,64,301
68,63,9,221
43,50,81,386
78,58,39,311
62,71,33,303
27,3,81,276
10,18,60,226
0,90,29,267
29,25,62,265
11,93,32,293
76,51,64,370
69,0,98,363
49,91,35,336
7,41,10,119
38,8,55,219
18,63,76,372
10,20,49,197
92,99,55,455
88,48,31,277
85,62,1,212
84,94,76,500
20,2,52,180
3,61,57,296
72,61,53,353
58,26,13,149
0,20,30,130
37,90,65,412
29,7,6,61
90,42,26,252
46,62,90,440
3,9,75,246
82,88,7,279
62,96,11,287
32,66,65,359
10,94,62,384
87,0,13,126
70,85,17,291
98,68,12,270
95,53,96,489
81,2,97,376
28,11,16,98
98,33,38,278
70,95,2,266
55,2,1,62
73,66,38,319
32,50,48,276
58,31,68,324
93,97,24,359
75,8,54,253
39,18,77,306
53,91,77,466
66,53,40,292
35,80,12,231
89,28,62,331
84,83,79,487
47,49,1,148
83,77,52,393
3,65,78,367
89,79,29,334
31,89,91,482
52,50,75,377
40,36,99,409
61,12,12,121
2,27,45,191
57,53,57,334
34,40,40,234
79,35,73,368
97,52,10,231
3,28,23,128
4,55,44,246
70,23,49,263
6,91,51,341
98,95,59,465
64,70,48,348
39,33,14,147
40,79,36,306
71,83,18,291
88,95,45,413
2,66,70,344
11,24,49,206
29,73,43,304
12,3,64,210
76,21,84,370
13,59,11,164
31,34,65,294
87,73,72,449
86,22,80,370
82,61,65,399
17,64,60,325
96,14,9,151
86,38,22,228
43,17,75,302
84,88,2,266
94,67,81,471
20,80,75,405
86,69,39,341
83,13,7,130
17,44,53,264
99,72,84,495
87,0,90,357
5,97,3,208
22,48,91,391
0,20,23,109
88,29,9,173
50,64,36,286
66,60,23,255
1,83,48,311
35,38,57,282
8,80,71,381
30,11,12,88
96,33,39,279
20,57,78,368
13,25,9,90
67,74,60,395
75,82,77,470
71,99,87,530
72,44,45,295
30,88,66,404
71,6,61,266
92,54,6,218
93,63,19,276
95,86,80,507
60,22,52,260
56,41,20,198
51,43,11,170
34,91,54,378
61,9,97,370
44,6,93,335
68,58,21,247
95,98,11,324
85,32,82,395
53,86,41,348
89,10,20,169
31,12,26,133
17,59,29,222
32,32,99,393
66,11,96,376
78,77,82,478
21,99,61,402
39,94,57,398
68,78,59,401
28,44,45,251
99,47,23,262
15,90,30,285
33,77,50,337
71,78,60,407
95,82,17,310
66,94,69,461
13,69,73,370
55,68,36,299
29,72,63,362
15,6,98,321
83,89,21,324
14,33,46,218
8,61,81,373
22,7,99,333
51,54,15,204
60,61,50,332
79,35,46,287
59,57,51,326
41,70,24,253
39,68,46,313
1,39,13,118
97,57,49,358
91,26,91,416
59,39,36,245
14,73,43,289
87,89,69,472
11,64,96,427
23,90,8,227
25,26,89,344
85,23,29,218
53,84,1,224
84,41,14,208
71,64,33,298
35,38,7,132
82,94,30,360
81,90,98,555
1,86,86,431
16,34,56,252
35,78,85,446
91,12,46,253
60,54,31,261
45,36,72,333
23,2,12,63
26,25,85,331
5,62,96,417
93,3,74,321
6,28,60,242
33,68,26,247
68,35,88,402
96,5,63,295
72,41,96,442
70,88,29,333
86,11,79,345
39,3,12,81
30,85,89,467
14,84,57,353
39,78,61,378
17,77,70,381
30,69,83,417
70,3,69,283
78,68,61,397
73,63,49,346
15,32,89,346
92,61,5,229
40,81,8,226
47,30,57,278
34,52,2,144
22,79,68,384
55,85,70,435
3,47,58,271
25,1,49,174
76,99,92,550
64,1,22,132
35,45,5,140
53,89,18,285
16,86,88,452
40,81,35,307
45,1,87,308
20,9,57,209
66,55,14,218
13,27,70,277
2,81,93,443
56,61,62,364
69,83,65,430
45,37,97,410
38,50,32,234
70,16,44,234
57,80,35,322
76,79,51,387
70,7,14,126
49,10,57,240
46,64,0,174
38,78,10,224
71,2,19,132
71,8,87,348
93,35,22,229
70,98,94,548
34,31,38,210
43,64,11,204
52,3,43,187
22,77,17,227
69,41,92,427
52,60,37,283
92,82,62,442
90,80,36,358
7,17,21,104
71,54,65,374
14,79,0,172
12,0,88,276
24,43,10,140
55,96,73,466
76,39,29,241
66,80,25,301
8,93,55,359
55,20,21,158
51,42,97,426
65,39,19,200
9,1,60,191
43,32,3,116
10,69,43,277
81,26,24,205
97,78,92,529
94,61,52,372
98,10,12,154
92,19,53,289
67,91,53,408
61,8,33,176
32,22,80,316
29,96,65,416
58,59,76,404
67,45,82,403
92,96,43,413
34,70,30,264
50,74,81,441
79,35,49,296
2,85,20,232
66,47,93,439
44,52,7,169
43,72,87,448
2,98,59,375
77,49,18,229
99,64,82,473
92,53,17,249
59,48,95,440
68,6,49,227
51,36,51,276
74,3,47,221
21,38,8,121
79,33,62,331
67,60,23,256
24,72,14,210
1,19,41,162
79,64,87,468
63,61,21,248
66,77,55,385
91,29,72,365
63,46,24,227
41,45,3,140
36,51,43,267
85,14,53,272
27,94,18,269
6,64,37,245
7,49,85,360
51,51,83,402
39,79,47,338
26,28,43,211
93,72,65,432
33,95,65,418
38,78,21,257
64,77,68,422
44,60,66,362
44,42,88,392
45,47,44,271
61,98,29,344
61,39,8,163
57,99,72,471
39,33,72,321
47,25,71,310
92,41,41,297
0,89,82,424
75,54,24,255
90,2,3,103
30,23,77,307
32,60,76,380
4,78,79,397
13,12,13,76
83,22,90,397
44,34,15,157
20,67,68,358
27,67,37,272
60,46,47,293
50,82,71,427
51,65,7,202
85,98,17,332
36,16,93,347
22,96,68,418
3,61,58,299
55,92,71,452
87,81,13,288
5,97,77,430
21,81,13,222
82,48,48,322
78,90,84,510
83,47,7,198
54,31,99,413
37,25,28,171
30,76,22,248
45,19,33,182
42,44,90,400
28,71,12,206
84,64,85,467
85,70,3,234
35,20,94,357
39,34,96,395
49,92,32,329
86,9,69,311
32,98,76,456
78,98,85,529
43,37,88,381
14,16,67,247
34,47,28,212
94,22,2,144
26,41,79,345
44,0,32,140
34,54,94,424
98,41,31,273
59,3,30,155
69,15,76,327
28,76,94,462
81,85,81,494
19,82,10,213
13,33,90,349
98,82,99,559
53,95,75,468
13,56,74,347
36,64,67,365
92,56,1,207
93,23,39,256
85,24,91,406
43,13,61,252
50,57,35,269
77,58,95,478
39,39,96,405
63,39,40,261
31,68,32,263
66,53,77,403
56,46,99,445
50,56,38,276
53,82,79,454
26,35,29,183
21,7,65,230
65,86,34,339
26,89,30,294
9,75,3,168
84,19,36,230
99,3,38,219
4,99,85,457
69,11,34,193
58,96,71,463
34,22,87,339
59,99,12,293
61,43,0,147
33,23,78,313
0,78,1,159
42,69,26,258
9,89,45,322
3,20,45,178
7,98,50,353
77,10,36,205
10,82,67,375
14,20,50,204
95,1,8,121
97,26,96,437
46,90,75,451
35,56,72,363
65,65,82,441
60,14,30,178
89,87,29,350
39,75,9,216
17,97,22,277
35,76,69,394
31,25,14,123
73,34,21,204
2,39,77,311
10,7,81,267
56,43,51,295
73,14,22,167
63,54,66,369
91,98,2,293
70,27,77,355
4,64,0,132
34,72,51,331
62,73,96,496
93,10,6,131
35,3,6,59
82,50,66,380
98,90,65,473
27,64,28,239
96,76,20,308
80,24,84,380
15,13,60,221
34,4,7,63
80,80,10,270
87,72,42,357
3,53,32,205
94,87,94,550
55,60,53,334
64,76,23,285
48,7,73,281
18,55,84,380
21,93,33,306
64,74,52,368
29,49,43,256
2,25,96,340
45,84,74,435
42,40,45,257
33,82,14,239
57,13,43,212
21,84,76,417
24,97,20,278
61,78,57,388
12,54,30,210
52,63,88,442
98,51,78,434
90,83,62,442
58,55,98,462
15,6,99,324
31,87,20,265
40,37,77,345
29,61,85,406
59,28,31,208
76,26,29,215
75,97,77,500
66,73,80,452
31,59,18,203
6,99,54,366
80,43,80,406
49,64,88,441
37,82,8,225
81,79,44,371
93,93,10,309
32,24,96,368
0,34,70,278
73,84,10,271
85,58,77,432
63,61,51,338
79,59,86,455
88,58,54,366
89,46,65,376
16,8,58,206
53,66,29,272
72,63,45,333
24,11,8,70
39,14,10,97
39,76,54,353
21,51,77,354
71,33,65,332
97,29,0,155
81,8,44,229
20,50,84,372
21,14,5,64
23,85,9,220
35,70,8,199
38,77,78,426
57,92,81,484
28,53,20,194
68,58,21,247
72,5,2,88
32,31,33,193
67,58,46,321
90,17,99,421
43,26,83,344
30,90,65,405
81,49,36,287
46,96,38,352
63,29,86,379
13,65,33,242
90,39,6,186
29,47,10,153
97,96,33,388
48,24,87,357
97,18,40,253
85,52,2,195
49,7,65,258
1,91,43,312
38,88,43,343
17,47,81,354
46,72,33,289
85,78,97,532
64,29,59,299
39,51,86,399
2,50,78,336
18,55,68,332
0,32,58,238
58,66,21,253
48,1,57,221
31,0,13,70
43,92,87,488
98,27,17,203
77,62,84,453
79,68,60,395
88,38,64,356
72,95,0,262
81,40,78,395
48,94,39,353
29,62,33,252
0,9,39,135
26,31,85,343
14,25,21,127
52,43,29,225
79,43,92,441
24,66,23,225
63,29,21,184
86,61,70,418
93,86,91,538
91,47,29,272
97,13,29,210
38,78,46,332
32,62,27,237
53,65,96,471
50,74,93,477
34,96,30,316
74,3,40,200
47,66,51,332
30,76,32,278
88,61,93,489
43,27,93,376
7,5,24,89
8,71,87,411
58,31,11,153
88,87,0,262
12,14,41,163
3,71,93,424
31,37,30,195
25,13,87,312
57,64,69,392
10,60,26,208
94,24,54,304
37,1,48,183
62,8,74,300
85,66,69,424
12,83,72,394
24,54,52,288
95,81,88,521
2,13,17,79
86,68,14,264
50,6,30,152
87,31,82,395
32,13,37,169
10,25,27,141
47,36,58,293
30,14,97,349
85,21,62,313
79,5,71,302
46,98,54,404
12,54,91,393
4,6,83,265
91,30,28,235
68,6,80,320
81,47,20,235
13,62,25,212
87,94,87,536
0,29,74,280
12,47,72,322
95,87,38,383
35,33,27,182
13,10,46,171
59,80,35,324
86,89,72,480
46,88,9,249
80,54,90,458
49,35,51,272
76,19,19,171
73,38,40,269
67,97,50,411
66,90,78,480
22,78,8,202
40,91,40,342
30,21,63,261
6,56,57,289
32,70,61,355
11,75,34,263
45,66,12,213
60,65,16,238
82,71,23,293
58,61,11,213
86,14,0,114
28,20,63,257
16,53,32,218
59,79,28,301
74,58,49,337
4,44,61,275
19,34,42,213
60,84,74,450
10,68,56,314
92,85,28,346
5,78,6,179
26,64,84,406
71,46,65,358
67,75,72,433
58,5,15,113
39,21,36,189
57,62,29,268
29,23,4,87
16,42,0,100
31,4,77,270
95,92,66,477
2,73,41,271
37,20,27,158
62,72,26,284
42,75,6,210
23,80,84,435
71,72,93,494
65,79,94,505
42,38,52,274
69,51,61,354
16,27,58,244
19,14,71,260
99,0,82,345
65,48,38,275
16,45,39,223
22,58,49,285
16,55,24,198
22,12,65,241
62,17,71,309
60,75,15,255
30,36,63,291
27,36,11,132
15,60,68,339
41,13,55,232
21,96,73,432
84,81,43,375
41,78,93,476
7,49,61,288
9,32,86,331
23,26,14,117
39,3,30,135
5,99,8,227
56,23,92,378
27,43,3,122
43,18,10,109
20,48,23,185
68,57,64,374
40,72,23,253
49,46,9,168
60,92,68,448
23,20,75,288
74,57,2,194
65,34,59,310
71,4,35,184
16,7,85,285
12,50,82,358
15,52,24,191
95,76,89,514
97,10,82,363
49,27,55,268
58,21,78,334
35,97,51,382
96,3,65,297
46,97,86,498
93,35,2,169
44,78,55,365
69,16,25,176
43,22,69,294
57,66,15,234
59,15,29,176
42,6,31,147
53,46,21,208
88,71,99,527
13,43,63,288
55,88,47,372
45,12,96,357
79,68,65,410
96,32,56,328
79,39,42,283
62,17,43,225
16,89,30,284
39,36,48,255
63,91,70,455
94,44,64,374
11,51,57,284
29,30,56,257
56,71,20,258
1,98,74,419
78,14,12,142
63,89,13,280
34,3,50,190
52,41,77,365
87,41,17,220
60,8,79,313
45,63,6,189
54,93,81,483
25,94,85,468
50,87,23,293
39,50,57,310
29,47,14,165
60,65,22,256
40,97,77,465
75,82,69,446
63,45,67,354
78,28,25,209
39,10,80,299
65,39,54,305
88,34,82,402
97,51,25,274
50,21,32,188
66,7,69,287
95,70,11,268
36,43,61,305
2,8,25,93
51,30,70,321
76,11,44,230
65,57,34,281
25,98,39,338
54,92,22,304
7,77,86,419
56,3,43,191
97,39,82,421
10,73,65,351
82,85,56,420
64,98,62,446
95,68,2,237
58,60,15,223
13,17,1,50
17,90,12,233
37,36,74,331
25,2,73,248
35,33,89,368
50,31,32,208
28,21,42,196
17,10,23,106
42,32,27,187
71,52,53,334
46,36,85,373
83,55,8,217
86,84,97,545
61,67,33,294
68,54,55,341
75,59,96,481
96,35,77,397
36,61,86,416
